#      x          Cp  
     1.00000    0.20512
     0.99062    0.18271
     0.97870    0.15512
     0.96541    0.12952
     0.95072    0.10562
     0.93479    0.08383
     0.91805    0.06433
     0.90091    0.04690
     0.88357    0.03086
     0.86606    0.01526
     0.84841   -0.00135
     0.83065   -0.02075
     0.81285   -0.04471
     0.79502   -0.07357
     0.77718   -0.10388
     0.75932   -0.12472
     0.74146   -0.12974
     0.72360   -0.13542
     0.70573   -0.14153
     0.68788   -0.14800
     0.67003   -0.15479
     0.65220   -0.16189
     0.63437   -0.16926
     0.61654   -0.17690
     0.59872   -0.18481
     0.58091   -0.19299
     0.56312   -0.20139
     0.54535   -0.20993
     0.52759   -0.21857
     0.50984   -0.22732
     0.49211   -0.23624
     0.47445   -0.24521
     0.45686   -0.25394
     0.43930   -0.26206
     0.42173   -0.26962
     0.40416   -0.27705
     0.38668   -0.28481
     0.36942   -0.29166
     0.35239   -0.29581
     0.33552   -0.29704
     0.31872   -0.30178
     0.30188   -0.31311
     0.28494   -0.33012
     0.26785   -0.34982
     0.25069   -0.37060
     0.23361   -0.39365
     0.21675   -0.41868
     0.20017   -0.44537
     0.18395   -0.47345
     0.16817   -0.50268
     0.15291   -0.53249
     0.13828   -0.56188
     0.12436   -0.59040
     0.11128   -0.61774
     0.09913   -0.64142
     0.08797   -0.66040
     0.07782   -0.67440
     0.06865   -0.68278
     0.06043   -0.68208
     0.05308   -0.67258
     0.04652   -0.65575
     0.04067   -0.62970
     0.03544   -0.59227
     0.03077   -0.54446
     0.02657   -0.48770
     0.02281   -0.41894
     0.01944   -0.33806
     0.01642   -0.24687
     0.01373   -0.14534
     0.01134   -0.03419
     0.00922    0.08555
     0.00735    0.21249
     0.00569    0.34159
     0.00425    0.46530
     0.00303    0.58111
     0.00202    0.68909
     0.00122    0.78685
     0.00063    0.87177
     0.00023    0.93923
     0.00003    0.98475
     0.00003    1.00300
     0.00023    0.99226
     0.00063    0.95539
     0.00122    0.89719
     0.00202    0.82151
     0.00303    0.73228
     0.00425    0.63184
     0.00569    0.52153
     0.00735    0.40377
     0.00922    0.28523
     0.01134    0.17060
     0.01373    0.06171
     0.01642   -0.04002
     0.01944   -0.13346
     0.02281   -0.21825
     0.02657   -0.29243
     0.03077   -0.35580
     0.03544   -0.41099
     0.04067   -0.45653
     0.04652   -0.49129
     0.05308   -0.51717
     0.06043   -0.53589
     0.06865   -0.54593
     0.07782   -0.54681
     0.08797   -0.54181
     0.09913   -0.53149
     0.11128   -0.51599
     0.12436   -0.49621
     0.13828   -0.47465
     0.15291   -0.45157
     0.16817   -0.42734
     0.18395   -0.40299
     0.20017   -0.37914
     0.21675   -0.35600
     0.23361   -0.33389
     0.25069   -0.31331
     0.26785   -0.29478
     0.28494   -0.27633
     0.30188   -0.26083
     0.31872   -0.25328
     0.33552   -0.25317
     0.35239   -0.25570
     0.36942   -0.25379
     0.38668   -0.24850
     0.40416   -0.24208
     0.42173   -0.23599
     0.43930   -0.22966
     0.45686   -0.22264
     0.47445   -0.21485
     0.49211   -0.20667
     0.50984   -0.19845
     0.52759   -0.19030
     0.54535   -0.18213
     0.56312   -0.17392
     0.58091   -0.16569
     0.59872   -0.15754
     0.61654   -0.14951
     0.63437   -0.14162
     0.65220   -0.13387
     0.67003   -0.12629
     0.68788   -0.11893
     0.70573   -0.11186
     0.72360   -0.10509
     0.74146   -0.09865
     0.75932   -0.09252
     0.77718   -0.08670
     0.79502   -0.08116
     0.81285   -0.07586
     0.83065   -0.07078
     0.84841   -0.06590
     0.86606   -0.05299
     0.88357   -0.01299
     0.90091    0.02588
     0.91805    0.05910
     0.93479    0.08702
     0.95072    0.11191
     0.96541    0.13580
     0.97870    0.15985
     0.99062    0.18498
     1.00000    0.20512
