#      x          Cp  
     1.00000    0.19815
     0.99062    0.17796
     0.97870    0.15129
     0.96541    0.12115
     0.95072    0.08470
     0.93479    0.03995
     0.91805   -0.01143
     0.90091   -0.03258
     0.88357   -0.03667
     0.86606   -0.04091
     0.84841   -0.04538
     0.83065   -0.05013
     0.81285   -0.05514
     0.79502   -0.06045
     0.77718   -0.06611
     0.75932   -0.07215
     0.74146   -0.07857
     0.72360   -0.08536
     0.70573   -0.09247
     0.68788   -0.09986
     0.67003   -0.10744
     0.65220   -0.11516
     0.63437   -0.12292
     0.61654   -0.13070
     0.59872   -0.13851
     0.58091   -0.14636
     0.56312   -0.15417
     0.54535   -0.16189
     0.52759   -0.16947
     0.50984   -0.17698
     0.49211   -0.18450
     0.47445   -0.19193
     0.45686   -0.19891
     0.43930   -0.20502
     0.42173   -0.21036
     0.40416   -0.21543
     0.38668   -0.22082
     0.36942   -0.22497
     0.35239   -0.22545
     0.33552   -0.22072
     0.31872   -0.21812
     0.30188   -0.22321
     0.28494   -0.23739
     0.26785   -0.25454
     0.25069   -0.27109
     0.23361   -0.28951
     0.21675   -0.30917
     0.20017   -0.32946
     0.18395   -0.35006
     0.16817   -0.37074
     0.15291   -0.39084
     0.13828   -0.40933
     0.12436   -0.42585
     0.11128   -0.44018
     0.09913   -0.44984
     0.08797   -0.45400
     0.07782   -0.45264
     0.06865   -0.44527
     0.06043   -0.42876
     0.05308   -0.40370
     0.04652   -0.37167
     0.04067   -0.33110
     0.03544   -0.28028
     0.03077   -0.22043
     0.02657   -0.15305
     0.02281   -0.07586
     0.01944    0.01072
     0.01642    0.10464
     0.01373    0.20522
     0.01134    0.31108
     0.00922    0.42046
     0.00735    0.53130
     0.00569    0.63896
     0.00425    0.73771
     0.00303    0.82448
     0.00202    0.89805
     0.00122    0.95471
     0.00063    0.99130
     0.00023    1.00316
     0.00003    0.98665
     0.00003    0.94055
     0.00023    0.86999
     0.00063    0.78059
     0.00122    0.67754
     0.00202    0.56463
     0.00303    0.44450
     0.00425    0.31869
     0.00569    0.18645
     0.00735    0.05017
     0.00922   -0.08173
     0.01134   -0.20401
     0.01373   -0.31553
     0.01642   -0.41561
     0.01944   -0.50386
     0.02281   -0.58063
     0.02657   -0.64420
     0.03077   -0.69495
     0.03544   -0.73623
     0.04067   -0.76666
     0.04652   -0.78533
     0.05308   -0.79458
     0.06043   -0.79643
     0.06865   -0.78946
     0.07782   -0.77354
     0.08797   -0.75224
     0.09913   -0.72627
     0.11128   -0.69601
     0.12436   -0.66264
     0.13828   -0.62858
     0.15291   -0.59424
     0.16817   -0.56018
     0.18395   -0.52737
     0.20017   -0.49642
     0.21675   -0.46760
     0.23361   -0.44111
     0.25069   -0.41706
     0.26785   -0.39542
     0.28494   -0.37565
     0.30188   -0.35804
     0.31872   -0.34354
     0.33552   -0.33390
     0.35239   -0.32837
     0.36942   -0.32191
     0.38668   -0.31379
     0.40416   -0.30509
     0.42173   -0.29681
     0.43930   -0.28857
     0.45686   -0.27998
     0.47445   -0.27099
     0.49211   -0.26193
     0.50984   -0.25307
     0.52759   -0.24452
     0.54535   -0.23626
     0.56312   -0.22831
     0.58091   -0.22073
     0.59872   -0.21366
     0.61654   -0.20730
     0.63437   -0.20208
     0.65220   -0.18629
     0.67003   -0.16211
     0.68788   -0.13754
     0.70573   -0.11555
     0.72360   -0.09795
     0.74146   -0.08376
     0.75932   -0.07170
     0.77718   -0.06056
     0.79502   -0.04947
     0.81285   -0.03799
     0.83065   -0.02580
     0.84841   -0.01263
     0.86606    0.00173
     0.88357    0.01741
     0.90091    0.03459
     0.91805    0.05351
     0.93479    0.07451
     0.95072    0.09759
     0.96541    0.12242
     0.97870    0.14849
     0.99062    0.17593
     1.00000    0.19815
